BROKERTITLE,TYPE,PRICE,BATH,PROPERTYSQFT,ADDRESS,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LONG_NAME,FORMATTED_ADDRESS,LATITUDE,LONGITUDE
"Brokered by EXP Realty","Co-op for sale",299999,1,850,"69-09 108th St Unit 312","Forest Hills, NY 11375","69-09 108th St Unit 312, Forest Hills, NY 11375","New York","Queens County",Queens,"Forest Hills",6909,"6909 108th St Apt 312, Forest Hills, NY 11375, USA",40.7249599,-73.84549
"Brokered by BESMATCH REAL ESTATE","Co-op for sale",120000,1,1100,"757 E 169th St Apt 2A","Bronx, NY 10456","757 E 169th St Apt 2A, Bronx, NY 10456","New York","Bronx County","The Bronx",Morrisania,757,"757 E 169th St #2a, Bronx, NY 10456, USA",40.8310613,-73.8998364
"Brokered by COMPASS","Condo for sale",1995000,2,1376,"128 W 26th St Fl 3","Manhattan, NY 10001","128 W 26th St Fl 3, Manhattan, NY 10001","New York","New York County","New York",Manhattan,128,"128 W 26th St Fl 3, New York, NY 10001, USA",40.7451522,-73.9927778
"Brokered by Brown Harris Stevens","Townhouse for sale",1300000,2.5,2173,"449 Convent Ave Unit Townhouse","Manhattan, NY 10031","449 Convent Ave Unit Townhouse, Manhattan, NY 10031","United States","New York","New York County","New York","Convent Avenue","449 Convent Ave, New York, NY 10031, USA",40.8274367,-73.9438954
"Brokered by Douglas Elliman - 575 Madison Ave","Condo for sale",1400000,2,1625,"133 Beach 116th St # F","Queens, NY 11694","133 Beach 116th St # F, Queens, NY 11694","United States","New York","Queens County",Queens,"Beach 116th Street","133 Beach 116th St, Rockaway Park, NY 11694, USA",40.5783596,-73.8365039
"Brokered by ATLANTIC PROPERTIES REALTY INC","House for sale",1175000,2.5,2188,"3026 Brighton 7th St","Brooklyn, NY 11235","3026 Brighton 7th St, Brooklyn, NY 11235","United States","New York","Kings County",Brooklyn,"Brighton 7th Street","3026 Brighton 7th St., Brooklyn, NY 11235, USA",40.5791234,-73.9613152
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Co-op for sale",670000,1,2183,"400 E 59th St Apt 16B","New York, NY 10022","400 E 59th St Apt 16B, New York, NY 10022","New York","New York County","New York",Manhattan,400,"400 E 59th St #16b, New York, NY 10022, USA",40.7593483,-73.9617192
"Brokered by Prestige Homes Ny Inc","Land for sale",75000,2.5,2188,"199th St","Saint Albans, NY 11412","199th St, Saint Albans, NY 11412",11412,"United States","New York","Queens County",Jamaica,"199th St, Jamaica, NY 11412, USA",40.6942163,-73.7530902
"Brokered by Realty Trends Corp","House for sale",1499000,4,3200,"64-16 Beach Front Rd","Arverne, NY 11692","64-16 Beach Front Rd, Arverne, NY 11692","United States","New York","Queens County",Queens,"Beach Front Road","6416 Beach Front Rd, Far Rockaway, NY 11692, USA",40.5883964,-73.7934995
"Brokered by Katz Realty","House for sale",1200000,2,2173,"16 Monroe Pl","Staten Island, NY 10314","16 Monroe Pl, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","Monroe Place","16 Monroe Pl, Staten Island, NY 10314, USA",40.5995725,-74.1264046
"Brokered by Coldwell Banker Reliable Real Estate","Multi-family home for sale",3299000,3,2192,"180 Clermont Ave","Brooklyn, NY 11205","180 Clermont Ave, Brooklyn, NY 11205","United States","New York","Kings County",Brooklyn,"Clermont Avenue","180 Clermont Ave, Brooklyn, NY 11205, USA",40.6923306,-73.9709219
"Brokered by R New York","Multi-family home for sale",2500000,4,2660,"439 E 116th St","New York, NY 10029","439 E 116th St, New York, NY 10029","United States","New York","New York County","New York","East 116th Street","439 E 116th St, New York, NY 10029, USA",40.7956068,-73.9338581
"Brokered by RE MAX Edge","House for sale",799000,2,2185,"935 E 32nd St","Brooklyn, NY 11210","935 E 32nd St, Brooklyn, NY 11210","United States","New York","Kings County",Brooklyn,"East 32nd Street","935 E 32nd St, Brooklyn, NY 11210, USA",40.6284586,-73.9450168
"Brokered by Chase Real Properties Llc","House for sale",715000,2,1866,"405 Turneur Ave","Bronx, NY 10473","405 Turneur Ave, Bronx, NY 10473","United States","New York","Bronx County","The Bronx","Turneur Avenue","405 Turneur Ave, Bronx, NY 10473, USA",40.8151628,-73.8462531
"Brokered by Corcoran Westside Columbus","Condo for sale",925000,2,1033,"77 E 110th St Apt 6A","New York, NY 10029","77 E 110th St Apt 6A, New York, NY 10029","New York","New York County","New York",Manhattan,77,"77 E 110th St #6a, New York, NY 10029, USA",40.7958546,-73.9464985
"Brokered by Anita Loewy","Condo for sale",2795000,2,1372,"20 W 64th St Unit 18K","New York, NY 10023","20 W 64th St Unit 18K, New York, NY 10023","New York County","New York",Manhattan,"West 64th Street","1 Lincoln Plaza","1 Lincoln Plaza, 20 W 64th St #18b, New York, NY 10023, USA",40.7716812,-73.9815796
"Brokered by COMPASS REALTY CENTRAL INC","Multi-family home for sale",1560000,2,2165,"1919 67th St","Brooklyn, NY 11204","1919 67th St, Brooklyn, NY 11204","United States","New York","Kings County",Brooklyn,"67th Street","1919 67th St, Brooklyn, NY 11204, USA",40.6165009,-73.9885469
"Brokered by Douglas Elliman - Bayside",Pending,780000,2,1900,"250-38 39th Rd","Little Neck, NY 11363","250-38 39th Rd, Little Neck, NY 11363","United States","New York","Queens County",Queens,"39th Road","250-38 39th Rd, Flushing, NY 11363, USA",40.7742555,-73.7407295
"Brokered by Serhant","Condo for sale",2850000,2,1912,"60 Broadway Apt 8J","Brooklyn, NY 11249","60 Broadway Apt 8J, Brooklyn, NY 11249","New York","Kings County",Brooklyn,Southside,60,"60 Broadway #8j, Brooklyn, NY 11249, USA",40.7102929,-73.9660133
"Brokered by Axe Realty NYC LLC","Multi-family home for sale",680000,2.5,2375,"3950 Hill Ave","Bronx, NY 10466","3950 Hill Ave, Bronx, NY 10466","United States","New York","Bronx County","The Bronx","Hill Avenue","3950 Hill Ave, Bronx, NY 10466, USA",40.8902197,-73.8385449
"Brokered by Corcoran West Side","Co-op for sale",530000,1,2188,"16 Park Ave # 8C","New York, NY 10016","16 Park Ave # 8C, New York, NY 10016","New York","New York County","New York",Manhattan,16,"16 Park Ave #8c, New York, NY 10007, USA",40.7478025,-73.9811899
"Brokered by Douglas Elliman - 575 Madison Ave",Pending,595000,1,2168,"210 Sixth Ave Unit 1G","New York, NY 10014","210 Sixth Ave Unit 1G, New York, NY 10014","New York","New York County","New York",Manhattan,210,"210 6th Ave #1g, New York, NY 10014, USA",40.7271763,-74.0030659
"Brokered by COMPASS","Co-op for sale",475000,1,2167,"33-55 14th St Unit 4A","Astoria, NY 11106","33-55 14th St Unit 4A, Astoria, NY 11106","New York","Queens County",Queens,"Long Island City",33-55,"33-55 14th St #4a, Long Island City, NY 11106, USA",40.7640468,-73.934811
"Brokered by EXIT ALL SEASONS REALTY","Multi-family home for sale",2700000,8,8000,"59 Newell St","Brooklyn, NY 11222","59 Newell St, Brooklyn, NY 11222","United States","New York","Kings County",Brooklyn,"Newel Street","59 Newel St, Brooklyn, NY 11222, USA",40.7244706,-73.9473969
"Brokered by Hometown Properties","House for sale",1049000,1,1683,"467 82nd St","Brooklyn, NY 11209","467 82nd St, Brooklyn, NY 11209","United States","New York","Kings County",Brooklyn,"82nd Street","467 82nd St, Brooklyn, NY 11209, USA",40.6249039,-74.0253417
"Brokered by Aida Home Realty","Multi-family home for sale",995000,5,2189,"153-41 Sapphire St","Howard Beach, NY 11414","153-41 Sapphire St, Howard Beach, NY 11414","United States","New York","Queens County",Queens,"Sapphire Street","153-41 Sapphire St, Jamaica, NY 11414, USA",40.6642913,-73.8554975
"Brokered by MAXIMILLION REALTY, INC.","Condo for sale",695000,2,1080,"601 Surf Ave Apt 8C","Brooklyn, NY 11224","601 Surf Ave Apt 8C, Brooklyn, NY 11224","New York","Kings County",Brooklyn,"Coney Island",601,"601 Surf Ave #8c, Brooklyn, NY 11224, USA",40.5754825,-73.9747644
"Brokered by VYLLA Homes",Contingent,436000,1,912,"43 Purdy Pl","Staten Island, NY 10309","43 Purdy Pl, Staten Island, NY 10309","United States","New York","Richmond County","Staten Island","Purdy Place","43 Purdy Pl, Staten Island, NY 10309, USA",40.5132319,-74.1952211
"Brokered by Winzone Realty Inc","Condo for sale",555000,1,2204,"7613 Ditmars Blvd Unit A2","East Elmhurst, NY 11370","7613 Ditmars Blvd Unit A2, East Elmhurst, NY 11370","United States","New York","Queens County",Queens,"Ditmars Boulevard","76-13 Ditmars Blvd, East Elmhurst, NY 11370, USA",40.7689132,-73.8929233
"Brokered by Carollo Real Estate Inc","Multi-family home for sale",1250000,6,2167,"10-41 115th St","College Point, NY 11356","10-41 115th St, College Point, NY 11356","United States","New York","Queens County",Queens,"115th Street","10-41 115th St, Flushing, NY 11356, USA",40.787484,-73.8520832
"Brokered by Realty Connect USA LLC","House for sale",725000,2,2205,"117-75 141st St","Jamaica, NY 11436","117-75 141st St, Jamaica, NY 11436","United States","New York","Queens County",Queens,"141st Street","11775 141st St, Jamaica, NY 11436, USA",40.6763934,-73.7998105
"Brokered by EXP Realty",Pending,938000,2,1700,"66-43 Alderton St","Rego Park, NY 11374","66-43 Alderton St, Rego Park, NY 11374","United States","New York","Queens County",Queens,"Alderton Street","66-43 Alderton St, Flushing, NY 11374, USA",40.7183478,-73.858704
"Brokered by RE MAX Edge","Co-op for sale",199000,1,550,"2607 Avenue O Apt 4A","Brooklyn, NY 11210","2607 Avenue O Apt 4A, Brooklyn, NY 11210","New York","Kings County",Brooklyn,Midwood,2607,"2607 Avenue O #4a, Brooklyn, NY 11210, USA",40.614409,-73.9479665
"Brokered by Lavilla Homes Inc","Multi-family home for sale",854000,2,2205,"2671 Bainbridge Ave","Bronx, NY 10458","2671 Bainbridge Ave, Bronx, NY 10458","United States","New York","Bronx County","The Bronx","Bainbridge Avenue","2671 Bainbridge Ave, Bronx, NY 10458, USA",40.8655935,-73.8916669
"Brokered by eXp Realty NYC",Contingent,389000,1,2160,"152 E 83rd St Apt 5D","New York, NY 10028","152 E 83rd St Apt 5D, New York, NY 10028","New York","New York County","New York",Manhattan,152,"152 E 83rd St #5d, New York, NY 10028, USA",40.777093,-73.956552
"Brokered by Douglas Elliman - 237 Smith St","Co-op for sale",475000,1,975,"2260 Benson Ave Apt 1L","Brooklyn, NY 11214","2260 Benson Ave Apt 1L, Brooklyn, NY 11214","United States","New York","Kings County",Brooklyn,2260,"2260 Benson Ave #1l, Brooklyn, NY 11214, USA",40.5989402,-73.9939759
"Brokered by COMPASS","Condo for sale",815000,2,1000,"2652 E 18th St Unit 2A","Brooklyn, NY 11235","2652 E 18th St Unit 2A, Brooklyn, NY 11235","New York","Kings County",Brooklyn,"Sheepshead Bay",2652,"2652 E 18th St #2a, Brooklyn, NY 11235, USA",40.5869733,-73.9514755
"Brokered by Bhuiyan Properties LLC","Condo for sale",474000,1,750,"848 43rd St Apt 22","Brooklyn, NY 11232","848 43rd St Apt 22, Brooklyn, NY 11232","New York","Kings County",Brooklyn,"Sunset Park",848,"848 43rd St Apt 22, Brooklyn, NY 11232, USA",40.6442712,-73.9986359
"Brokered by COMPASS","Condo for sale",2350000,2,1572,"300 W 18th St Unit 2","Manhattan, NY 10011","300 W 18th St Unit 2, Manhattan, NY 10011","New York","New York County","New York",Manhattan,300,"300 W 18th St #2, New York, NY 10011, USA",40.7422513,-74.0010561
"Brokered by Coldwell Banker Reliable","House for sale",6600000,5,5110,"160 E 105th St","New York, NY 10029","160 E 105th St, New York, NY 10029","United States","New York","New York County","New York","East 105th Street","160 E 105th St, New York, NY 10029, USA",40.7911493,-73.9463028
"Brokered by MNS","Co-op for sale",590000,1,800,"800 E 17th St Apt 4A","Brooklyn, NY 11230","800 E 17th St Apt 4A, Brooklyn, NY 11230","New York","Kings County",Brooklyn,Flatbush,800,"800 E 17th St #4a, Brooklyn, NY 11230, USA",40.6311681,-73.9610093
"Brokered by MAXIMILLION REALTY, INC.","Condo for sale",695000,2,1080,"601 Surf Ave Apt 8C","Brooklyn, NY 11224","601 Surf Ave Apt 8C, Brooklyn, NY 11224","New York","Kings County",Brooklyn,"Coney Island",601,"601 Surf Ave #8c, Brooklyn, NY 11224, USA",40.5754825,-73.9747644
"Brokered by COMPASS","Condo for sale",610000,1,673,"21 S End Ave Apt 435","Manhattan, NY 10280","21 S End Ave Apt 435, Manhattan, NY 10280","New York","New York County","New York",Manhattan,21,"21 South End Ave APT 435, New York, NY 10280, USA",40.7082816,-74.0180413
"Brokered by Douglas Elliman - Bayside",Pending,1238000,2,1550,"44-11 192nd St","Flushing, NY 11358","44-11 192nd St, Flushing, NY 11358","United States","New York","Queens County",Queens,"192nd Street","44-11 192nd St, Flushing, NY 11358, USA",40.7561033,-73.7889919
"Brokered by Keller Williams Rlty Landmark","Multi-family home for sale",789000,2,2173,"941 E 46th St","Brooklyn, NY 11203","941 E 46th St, Brooklyn, NY 11203","United States","New York","Kings County",Brooklyn,"East 46th Street","941 E 46th St, Brooklyn, NY 11203, USA",40.6382091,-73.9325492
"Brokered by RE/MAX Elite",Contingent,699888,2,1870,"94 Lorraine Ave","Staten Island, NY 10312","94 Lorraine Ave, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Lorrain Avenue","94 Lorrain Ave, Staten Island, NY 10312, USA",40.541476,-74.174618
"Brokered by Lavilla Homes Inc","Multi-family home for sale",854000,2,2171,"2671 Bainbridge Ave","Bronx, NY 10458","2671 Bainbridge Ave, Bronx, NY 10458","United States","New York","Bronx County","The Bronx","Bainbridge Avenue","2671 Bainbridge Ave, Bronx, NY 10458, USA",40.8655935,-73.8916669
"Brokered by Nest Seekers International, Midtown","Condo for sale",1299000,2,1066,"117 E 57th St Units 34 & 35C","New York, NY 10022","117 E 57th St Units 34 & 35C, New York, NY 10022","New York","New York County","New York",Manhattan,117,"117 E 57th St APT 34F, New York, NY 10022, USA",40.7617181,-73.969764
"Brokered by Ozana Realty Group","House for sale",632000,2,1496,"40 Princeton Ln","Staten Island, NY 10312","40 Princeton Ln, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Princeton Lane","40 Princeton Ln, Staten Island, NY 10312, USA",40.5533858,-74.1974018
"Brokered by Olam Realty Group","Co-op for sale",499000,1,2209,"67-66 108th St Unit B47","Forest Hills, NY 11375","67-66 108th St Unit B47, Forest Hills, NY 11375","United States","New York","Queens County",Queens,"108th Street","67-66 108th St, Forest Hills, NY 11375, USA",40.7272034,-73.8471901
"Brokered by Ozana Realty Group","House for sale",632000,2,1496,"40 Princeton Ln","Staten Island, NY 10312","40 Princeton Ln, Staten Island, NY 10312","United States","New York","Richmond County","Staten Island","Princeton Lane","40 Princeton Ln, Staten Island, NY 10312, USA",40.5533858,-74.1974018
NoBroker,Pending,895000,1,2176,"365 W 20th St Apt 9C","Manhattan, NY 10011","365 W 20th St Apt 9C, Manhattan, NY 10011","New York","New York County","New York",Manhattan,365,"365 W 20th St Apt 9b, New York, NY 10011, USA",40.7443407,-74.0016248
"Brokered by Brown Harris Stevens - 129 Montague Street","Condo for sale",800000,1,850,"1240 Bedford Ave Apt 1F","Brooklyn, NY 11216","1240 Bedford Ave Apt 1F, Brooklyn, NY 11216","New York","Kings County",Brooklyn,Bedford-Stuyvesant,1240,"1240 Bedford Ave #1f, Brooklyn, NY 11216, USA",40.6813996,-73.9537521
"Brokered by COMPASS","Condo for sale",725000,1,696,"190 Lefferts Pl Apt 5","Brooklyn, NY 11238","190 Lefferts Pl Apt 5, Brooklyn, NY 11238","New York","Kings County",Brooklyn,Bedford-Stuyvesant,190,"190 Lefferts Pl APT 5, Brooklyn, NY 11238, USA",40.6802147,-73.9567445
"Brokered by COMPASS","Co-op for sale",349500,1,900,"111-39 76th Rd Unit F7","Queens, NY 11375","111-39 76th Rd Unit F7, Queens, NY 11375","New York","Queens County",Queens,"Forest Hills",11139,"11139 76th Rd Apt F7, Forest Hills, NY 11375, USA",40.7157399,-73.83672
"Brokered by Corcoran Westside Columbus","Co-op for sale",625000,1,2172,"2790 Broadway Apt 5A","New York, NY 10025","2790 Broadway Apt 5A, New York, NY 10025","New York","New York County","New York",Manhattan,2790,"2790 Broadway #5a, New York, NY 10025, USA",40.8025988,-73.9673459
"Brokered by Richmont Realty","Multi-family home for sale",1090000,3,2167,"22-08 Greene Ave","Ridgewood, NY 11385","22-08 Greene Ave, Ridgewood, NY 11385","United States","New York","Queens County",Queens,"Greene Avenue","22-08 Greene Ave, Flushing, NY 11385, USA",40.7110433,-73.9060792
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage","Co-op for sale",2975000,2,2176,"829 Park Ave Apt 11B","New York, NY 10021","829 Park Ave Apt 11B, New York, NY 10021","New York","New York County","New York",Manhattan,829,"829 Park Ave #11b, New York, NY 10021, USA",40.7733572,-73.961686
"Brokered by Douglas Elliman - Franklin Square","Co-op for sale",259000,1,2178,"89-20 55 Ave Unit 1L","Elmhurst, NY 11373","89-20 55 Ave Unit 1L, Elmhurst, NY 11373","New York","Queens County",Queens,Elmhurst,89-20,"89-20 55th Ave Apt 1U, Elmhurst, NY 11373, USA",40.7365072,-73.8733466
"Brokered by Douglas Elliman - 575 Madison Ave","Condo for sale",550000,1,446,"205 E 68th St Apt 3D","New York, NY 10065","205 E 68th St Apt 3D, New York, NY 10065","New York","New York County","New York",Manhattan,205,"205 E 68th St #3d, New York, NY 10065, USA",40.7670912,-73.9616292
"Brokered by Brown Harris Stevens - 129 Montague Street","Co-op for sale",385000,1,2180,"8701 Shore Rd Apt 432","Brooklyn, NY 11209","8701 Shore Rd Apt 432, Brooklyn, NY 11209","New York","Kings County",Brooklyn,"Fort Hamilton",8701,"8701 Shore Rd Apt 432, Brooklyn, NY 11209, USA",40.6249201,-74.0404698
"Brokered by RE/MAX 2000","Multi-family home for sale",1325000,3,2160,"37 Sheridan Ave","Brooklyn, NY 11208","37 Sheridan Ave, Brooklyn, NY 11208","United States","New York","Kings County",Brooklyn,"Sheridan Avenue","37 Sheridan Ave, Brooklyn, NY 11208, USA",40.6817405,-73.8676128
"Brokered by Ditommaso Real Estate","House for sale",968000,2,2845,"107 McVeigh Ave","Staten Island, NY 10314","107 McVeigh Ave, Staten Island, NY 10314","United States","New York","Richmond County","Staten Island","McVeigh Avenue","107 McVeigh Ave, Staten Island, NY 10314, USA",40.588988,-74.1530581
"Brokered by E Realty International Corp","Co-op for sale",350000,1,2183,"61-15 97 St Unit 12D","Rego Park, NY 11374","61-15 97 St Unit 12D, Rego Park, NY 11374","New York","Queens County",Queens,"Rego Park",61-15,"61-15 97th St #12d, Rego Park, NY 11374, USA",40.7337965,-73.8620837
"Brokered by COMPASS",Pending,2750000,4,2900,"171 W 57th St Apt 11B","Manhattan, NY 10019","171 W 57th St Apt 11B, Manhattan, NY 10019","New York","New York County","New York",Manhattan,171,"171 W 57th St APT 11A, New York, NY 10019, USA",40.7656355,-73.9795713
"Brokered by Winzone Realty Inc","Condo for sale",498000,1,785,"64-48 Booth St Unit 1E","Rego Park, NY 11374","64-48 Booth St Unit 1E, Rego Park, NY 11374","New York","Queens County",Queens,"Rego Park",64-48,"64-48 Booth St #1e, Rego Park, NY 11374, USA",40.7275115,-73.86069
"Brokered by COMPASS","Townhouse for sale",1675000,2,2100,"841 Willoughby Ave","Brooklyn, NY 11221","841 Willoughby Ave, Brooklyn, NY 11221","United States","New York","Kings County",Brooklyn,"Willoughby Avenue","841 Willoughby Ave, Brooklyn, NY 11221, USA",40.6957069,-73.9344472
"Brokered by CARINI GROUP - CARINI GROUP","Co-op for sale",525000,1,2167,"111 Fourth Ave Unit 12A","New York, NY 10003","111 Fourth Ave Unit 12A, New York, NY 10003","New York","New York County","New York",Manhattan,111,"111 4th Ave #12a, New York, NY 10003, USA",40.7324146,-73.9898491
"Brokered by RE MAX Edge","Co-op for sale",280000,1,850,"2940 Ocean Ave Apt A7","Brooklyn, NY 11235","2940 Ocean Ave Apt A7, Brooklyn, NY 11235","New York","Kings County",Brooklyn,"Sheepshead Bay",2940,"2940 Ocean Ave Apt A7, Brooklyn, NY 11235, USA",40.5895139,-73.9497416
"Brokered by Akcess24homes Inc","House for sale",849000,2,2184,"120-09 Linden Blvd","South Ozone Park, NY 11420","120-09 Linden Blvd, South Ozone Park, NY 11420","United States","New York","Queens County",Queens,"Linden Boulevard","120-09 Linden Blvd, Jamaica, NY 11420, USA",40.6793288,-73.8192101
"Brokered by Michael A. Kaufman, Licensed Real Estate Broker","Condo for sale",1250000,1,855,"389 E 89th St Apt 15A","New York, NY 10128","389 E 89th St Apt 15A, New York, NY 10128","New York","New York County","New York",Manhattan,389,"389 E 89th St #15a, New York, NY 10128, USA",40.7791164,-73.9482901
"Brokered by KELLER WILLIAMS REALTY LANDMARK II","Condo for sale",359999,2,2178,"753B Saint Anns Ave Unit 52B","Bronx, NY 10456","753B Saint Anns Ave Unit 52B, Bronx, NY 10456","New York","Bronx County","The Bronx",Woodstock,753B,"753B St Ann's Ave #52B, Bronx, NY 10456, USA",40.8203804,-73.9109368
"Brokered by KELLER WILLIAMS REALTY LANDMARK II","Co-op for sale",229000,1,2165,"21-16 35th St Unit 1B","Astoria, NY 11105","21-16 35th St Unit 1B, Astoria, NY 11105","New York","Queens County",Queens,Astoria,21-16,"21-16 35th St #1b, Astoria, NY 11105, USA",40.7763731,-73.9073075
"Brokered by COMPASS","Co-op for sale",3995000,2,2187,"22 E 18th St Apt 4E","Manhattan, NY 10003","22 E 18th St Apt 4E, Manhattan, NY 10003","New York","New York County","New York",Manhattan,22,"22 E 18th St #4a, New York, NY 10003, USA",40.7379419,-73.9907264
"Brokered by R New York","Condo for sale",2649000,3,1699,"330 E 38th St Apt 41N","New York, NY 10016","330 E 38th St Apt 41N, New York, NY 10016","New York","New York County","New York",Manhattan,330,"330 E 38th St APT 41F, New York, NY 10016, USA",40.7463283,-73.972718
"Brokered by COMPASS","Co-op for sale",695000,1,2202,"205 W 54th St Apt 5D","Manhattan, NY 10019","205 W 54th St Apt 5D, Manhattan, NY 10019","New York","New York County","New York",Manhattan,205,"205 W 54th St #5b, New York, NY 10019, USA",40.7640805,-73.9818551
"Brokered by Nest Seekers International, Midtown","Condo for sale",585000,2.5,2191,"45-30 Pearson St","Queens, NY 11101","45-30 Pearson St, Queens, NY 11101","United States","New York","Queens County",Queens,"Pearson Street","45-30 Pearson St, Long Island City, NY 11101, USA",40.7453084,-73.9445819
"Brokered by KELLER WILLIAMS REALTY LANDMARK II","Condo for sale",359999,2,2204,"753B Saint Anns Ave Unit 52B","Bronx, NY 10456","753B Saint Anns Ave Unit 52B, Bronx, NY 10456","New York","Bronx County","The Bronx",Woodstock,753B,"753B St Ann's Ave #52B, Bronx, NY 10456, USA",40.8203804,-73.9109368
"Brokered by Gibbs Yvonne","Co-op for sale",179000,1,600,"2913 Foster Ave Apt 2F","Brooklyn, NY 11210","2913 Foster Ave Apt 2F, Brooklyn, NY 11210","New York","Kings County",Brooklyn,"Little Haiti",2913,"2913 Foster Ave #2f, Brooklyn, NY 11210, USA",40.6387293,-73.9490472
"Brokered by COMPASS","Condo for sale",2100000,3,1638,"235 E 55th St Unit 43AB","Manhattan, NY 10022","235 E 55th St Unit 43AB, Manhattan, NY 10022","New York","New York County","New York",Manhattan,231-235,"231-235 E 55th St # 43b, New York, NY 10022, USA",40.7585686,-73.9669708
"Brokered by Douglas Elliman - Long Island City","Condo for sale",880000,1,713,"44-15 Purves St Unit 14B","Queens, NY 11101","44-15 Purves St Unit 14B, Queens, NY 11101","United States","New York","Queens County",Queens,"Purves Street","44-15 Purves St, Long Island City, NY 11101, USA",40.747145,-73.9408974
"Brokered by BERKSHIRE HATHAWAY","Land for sale",675000,2.5,2201,"34 Brighton 4th Walk","Brooklyn, NY 11235","34 Brighton 4th Walk, Brooklyn, NY 11235","United States","New York","Kings County",Brooklyn,"Brighton 4th Walk","34 Brighton 4th Walk, Brooklyn, NY 11235, USA",40.5802632,-73.9638613
"Brokered by Corcoran Chelsea/Flatiron","Condo for sale",1500000,2,1334,"50 W 127th St # B","New York, NY 10027","50 W 127th St # B, New York, NY 10027","United States","New York","New York County","New York","West 127th Street","50 W 127th St, New York, NY 10027, USA",40.8084181,-73.9433027
"Brokered by Sotheby's International Realty - Downtown Manhattan","Co-op for sale",2175000,4,2191,"132 E 35th St # 16GH","New York, NY 10016","132 E 35th St # 16GH, New York, NY 10016","New York","New York County","New York",Manhattan,132,"132 E 35th St #16h, New York, NY 10016, USA",40.7468058,-73.9797483
"Brokered by Silversons Realty, LLC","Co-op for sale",1296000,2,1200,"515 E 79th St Apt 6A","New York, NY 10075","515 E 79th St Apt 6A, New York, NY 10075","New York","New York County","New York",Manhattan,515,"515 E 79th St #6a, New York, NY 10075, USA",40.7709564,-73.9487946
"Brokered by Bergen Basin Realty Llc","Co-op for sale",450000,1,1100,"2675 Ocean Ave Apt 3B","Brooklyn, NY 11229","2675 Ocean Ave Apt 3B, Brooklyn, NY 11229","New York","Kings County",Brooklyn,"Sheepshead Bay",2675,"2675 Ocean Ave #3b, Brooklyn, NY 11229, USA",40.595967,-73.9504018
"Brokered by ROCKAWAY PROPERTIES","Condo for sale",649000,2,1770,"103-06 Rockaway Beach Blvd Unit 3C","Rockaway Park, NY 11694","103-06 Rockaway Beach Blvd Unit 3C, Rockaway Park, NY 11694","New York","Queens County",Queens,"Rockaway Park",10306,"10306 Rockaway Beach Blvd #3c, Rockaway Park, NY 11694, USA",40.5838274,-73.8243138
"Brokered by Douglas Elliman - 140 Franklin",Pending,1295000,2,2000,"130 W 26th St Apt 3","New York, NY 10001","130 W 26th St Apt 3, New York, NY 10001","New York","New York County","New York",Manhattan,130,"130 W 26th St Apt 3, New York, NY 10001, USA",40.7450475,-73.9923569
"Brokered by Amerihomes Realty Of Ny Inc","Co-op for sale",265000,1,900,"2461 E 29th St Apt 3F","Brooklyn, NY 11235","2461 E 29th St Apt 3F, Brooklyn, NY 11235","New York","Kings County",Brooklyn,"Sheepshead Bay",2461,"2461 E 29th St #3f, Brooklyn, NY 11235, USA",40.5920038,-73.9410354
"Brokered by Pantiga Group Inc.","Multi-family home for sale",1350000,3,3318,"307 E 162nd St","Bronx, NY 10451","307 E 162nd St, Bronx, NY 10451","United States","New York","Bronx County","The Bronx","East 162nd Street","307 E 162nd St, Bronx, NY 10451, USA",40.8262094,-73.9164423
"Brokered by First Class Realty Enterprises","Multi-family home for sale",797777,2,2167,"117-63 140th St","Jamaica, NY 11436","117-63 140th St, Jamaica, NY 11436","United States","New York","Queens County",Queens,"140th Street","11763 140th St, Jamaica, NY 11436, USA",40.6764388,-73.8008604
"Brokered by COMPASS",Pending,4650000,2.5,4734,"168 Lafayette Ave","Brooklyn, NY 11238","168 Lafayette Ave, Brooklyn, NY 11238","United States","New York","Kings County",Brooklyn,"Lafayette Avenue","168 Lafayette Ave, Brooklyn, NY 11238, USA",40.6875443,-73.9701737
"Brokered by Douglas Elliman - Franklin Square",Pending,680000,2,1536,"135-30 94th St","Ozone Park, NY 11417","135-30 94th St, Ozone Park, NY 11417","United States","New York","Queens County",Queens,"94th Street","135-30 94th St, Jamaica, NY 11417, USA",40.6729488,-73.8425151
"Brokered by Pin It Realty Llc","House for sale",549000,2,2170,"10-18 Beach 22nd St","Far Rockaway, NY 11691","10-18 Beach 22nd St, Far Rockaway, NY 11691","United States","New York","Queens County",Queens,"Beach 22nd Street","10-18 Beach 22nd St, Far Rockaway, NY 11691, USA",40.6027057,-73.7548417
"Brokered by Sotheby's International Realty - East Side Manhattan Brokerage",Pending,13650000,2.5,2178,"164 E 70th St","New York, NY 10021","164 E 70th St, New York, NY 10021","United States","New York","New York County","New York","East 70th Street","164 E 70th St, New York, NY 10021, USA",40.7686449,-73.9625686
